Trial Number,Timestamp,Message ID,PDO Label,DLC,Flags,Status word,Actual speed,RMS motor Current,DC Bus Voltage,Internal Speed Reference,Reference Torque,Actual Torque,Field weakening control: voltage angle,Field weakening control: regulator status,Current limit: actual limit type,Motor voltage control: U peak normalized,Digital status word,Scaled throttle percent,Motor voltage control: idLimit,Motor voltage control: Idfiltered,Actual currents: iq,Motor measurements: DC bus current
22,11,390,PDO1,8,0,0,-9729,0,-28913,,,,,,,,,,,,,
22,11,646,PDO2,8,0,,,,,12032,0,0,0,,,,,,,,,
22,11,1798,Unknown PDO,1,0,,,,,,,,,,,,,,,,,
22,12,390,PDO1,8,0,34576,512,512,-8684,,,,,,,,,,,,,
22,12,646,PDO2,8,0,,,,,512,0,0,0,,,,,,,,,
22,13,902,PDO3,8,0,,,,,,,,,0,0,-25344,17400,0,,,,
22,13,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,1536,0
22,18,390,PDO1,8,0,34576,256,512,-8684,,,,,,,,,,,,,
22,19,646,PDO2,8,0,,,,,-1,0,0,0,,,,,,,,,
22,19,902,PDO3,8,0,,,,,,,,,0,0,-11264,17400,0,,,,
22,19,1158,PDO4,8,0,,,,,,,,,,,,,,1280,-1,-513,0
22,39,390,PDO1,8,0,34576,1024,256,-8684,,,,,,,,,,,,,
22,40,646,PDO2,8,0,,,,,0,0,0,0,,,,,,,,,
22,40,902,PDO3,8,0,,,,,,,,,0,0,19969,17400,0,,,,
22,40,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,0,0
22,60,390,PDO1,8,0,34576,-257,512,-8684,,,,,,,,,,,,,
22,60,646,PDO2,8,0,,,,,768,0,0,0,,,,,,,,,
22,60,902,PDO3,8,0,,,,,,,,,0,0,-30464,17400,0,,,,
22,62,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,0,0
22,80,390,PDO1,8,0,34576,1024,512,-8684,,,,,,,,,,,,,
22,80,646,PDO2,8,0,,,,,-1,0,0,0,,,,,,,,,
22,80,902,PDO3,8,0,,,,,,,,,0,0,-22272,17400,0,,,,
22,81,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,512,0
22,101,390,PDO1,8,0,34576,-769,512,-9196,,,,,,,,,,,,,
22,101,646,PDO2,8,0,,,,,512,0,0,0,,,,,,,,,
22,101,902,PDO3,8,0,,,,,,,,,0,0,-23808,17400,0,,,,
22,102,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,-1025,0
22,120,390,PDO1,8,0,34576,-1025,512,-8684,,,,,,,,,,,,,
22,121,646,PDO2,8,0,,,,,1024,0,0,0,,,,,,,,,
22,121,902,PDO3,8,0,,,,,,,,,0,0,32001,17400,0,,,,
22,121,1158,PDO4,8,0,,,,,,,,,,,,,,1280,-1,0,0
22,142,390,PDO1,8,0,34576,-1,768,-8684,,,,,,,,,,,,,
22,142,646,PDO2,8,0,,,,,256,0,256,0,,,,,,,,,
22,142,902,PDO3,8,0,,,,,,,,,0,0,-23808,17400,0,,,,
22,144,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,768,0
22,163,390,PDO1,8,0,34576,-513,512,-8684,,,,,,,,,,,,,
22,163,646,PDO2,8,0,,,,,-513,0,0,0,,,,,,,,,
22,163,902,PDO3,8,0,,,,,,,,,0,0,-3072,17400,0,,,,
22,164,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,256,0
22,183,390,PDO1,8,0,34576,-1,512,-8684,,,,,,,,,,,,,
22,183,646,PDO2,8,0,,,,,256,0,0,0,,,,,,,,,
22,184,902,PDO3,8,0,,,,,,,,,0,0,19712,17400,0,,,,
22,184,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,-257,0
22,204,390,PDO1,8,0,34576,0,768,-8684,,,,,,,,,,,,,
22,204,646,PDO2,8,0,,,,,256,0,-1,0,,,,,,,,,
22,205,902,PDO3,8,0,,,,,,,,,0,0,31745,17400,0,,,,
22,206,1158,PDO4,8,0,,,,,,,,,,,,,,1280,-1,-257,0
22,224,390,PDO1,8,0,34576,-513,512,-9196,,,,,,,,,,,,,
22,225,646,PDO2,8,0,,,,,1024,0,256,0,,,,,,,,,
22,225,902,PDO3,8,0,,,,,,,,,0,0,3329,17400,0,,,,
22,225,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,768,0
22,245,390,PDO1,8,0,34576,-769,768,-8684,,,,,,,,,,,,,
22,245,646,PDO2,8,0,,,,,768,0,0,0,,,,,,,,,
22,245,902,PDO3,8,0,,,,,,,,,0,0,-32000,17400,0,,,,
22,246,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,1024,0
22,265,390,PDO1,8,0,34576,-257,768,-8684,,,,,,,,,,,,,
22,265,646,PDO2,8,0,,,,,256,0,0,0,,,,,,,,,
22,265,902,PDO3,8,0,,,,,,,,,0,0,28928,17400,0,,,,
22,267,1158,PDO4,8,0,,,,,,,,,,,,,,1280,-1,-513,0
22,286,390,PDO1,8,0,34576,1024,512,-9196,,,,,,,,,,,,,
22,286,646,PDO2,8,0,,,,,1024,0,256,0,,,,,,,,,
22,286,902,PDO3,8,0,,,,,,,,,0,0,28672,17400,0,,,,
22,287,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,1024,0
22,306,390,PDO1,8,0,34576,1024,512,-8684,,,,,,,,,,,,,
22,306,646,PDO2,8,0,,,,,1024,0,0,0,,,,,,,,,
22,307,902,PDO3,8,0,,,,,,,,,0,0,-32256,17400,0,,,,
